#seq,cam,ts_ns,file
634,0,173099930642000,c0_000634.gray
634,2,173099930680000,c2_000634.gray
639,0,173099949641000,c0_000639.gray
639,2,173099949667000,c2_000639.gray
641,0,173099963972000,c0_000641.gray
641,2,173099964002000,c2_000641.gray
642,0,173099982956000,c0_000642.gray
642,2,173099982972000,c2_000642.gray
643,0,173099997294000,c0_000643.gray
643,2,173099997311000,c2_000643.gray
649,0,173100016290000,c0_000649.gray
649,2,173100016302000,c2_000649.gray
655,0,173100030623000,c0_000655.gray
655,2,173100030635000,c2_000655.gray
663,0,173100049622000,c0_000663.gray
663,2,173100049637000,c2_000663.gray
669,0,173100063959000,c0_000669.gray
669,2,173100063973000,c2_000669.gray
677,0,173100082957000,c0_000677.gray
677,2,173100082972000,c2_000677.gray
683,0,173100097292000,c0_000683.gray
683,2,173100097308000,c2_000683.gray
690,0,173100116296000,c0_000690.gray
690,2,173100116320000,c2_000690.gray
693,0,173100130642000,c0_000693.gray
693,2,173100130681000,c2_000693.gray
698,0,173100149638000,c0_000698.gray
698,2,173100149675000,c2_000698.gray
700,0,173100163969000,c0_000700.gray
700,2,173100163994000,c2_000700.gray
704,0,173100182968000,c0_000704.gray
704,2,173100183002000,c2_000704.gray
707,0,173100197303000,c0_000707.gray
707,2,173100197328000,c2_000707.gray
711,0,173100216303000,c0_000711.gray
711,2,173100216338000,c2_000711.gray
714,0,173100230640000,c0_000714.gray
714,2,173100230675000,c2_000714.gray
718,0,173100249635000,c0_000718.gray
718,2,173100249669000,c2_000718.gray
720,0,173100264010000,c0_000720.gray
720,2,173100264044000,c2_000720.gray
725,0,173100282971000,c0_000725.gray
725,2,173100283006000,c2_000725.gray
727,0,173100297315000,c0_000727.gray
727,2,173100297341000,c2_000727.gray
732,0,173100316306000,c0_000732.gray
732,2,173100316342000,c2_000732.gray
734,0,173100330637000,c0_000734.gray
734,2,173100330675000,c2_000734.gray
738,0,173100349632000,c0_000738.gray
738,2,173100349656000,c2_000738.gray
741,0,173100363973000,c0_000741.gray
741,2,173100364007000,c2_000741.gray
745,0,173100382970000,c0_000745.gray
745,2,173100383004000,c2_000745.gray
747,0,173100397308000,c0_000747.gray
747,2,173100397343000,c2_000747.gray
752,0,173100416305000,c0_000752.gray
752,2,173100416340000,c2_000752.gray
754,0,173100430643000,c0_000754.gray
754,2,173100430681000,c2_000754.gray
758,0,173100449635000,c0_000758.gray
758,2,173100449669000,c2_000758.gray
761,0,173100463973000,c0_000761.gray
761,2,173100464007000,c2_000761.gray
765,0,173100482972000,c0_000765.gray
765,2,173100483006000,c2_000765.gray
767,0,173100497310000,c0_000767.gray
767,2,173100497348000,c2_000767.gray
772,0,173100516302000,c0_000772.gray
772,2,173100516336000,c2_000772.gray
774,0,173100530642000,c0_000774.gray
774,2,173100530677000,c2_000774.gray
779,0,173100549637000,c0_000779.gray
779,2,173100549669000,c2_000779.gray
781,0,173100563976000,c0_000781.gray
781,2,173100564010000,c2_000781.gray
785,0,173100582972000,c0_000785.gray
785,2,173100583006000,c2_000785.gray
788,0,173100597310000,c0_000788.gray
788,2,173100597347000,c2_000788.gray
792,0,173100616303000,c0_000792.gray
792,2,173100616335000,c2_000792.gray
794,0,173100630643000,c0_000794.gray
794,2,173100630677000,c2_000794.gray
799,0,173100649637000,c0_000799.gray
799,2,173100649670000,c2_000799.gray
801,0,173100663974000,c0_000801.gray
801,2,173100664008000,c2_000801.gray
806,0,173100682972000,c0_000806.gray
806,2,173100683006000,c2_000806.gray
808,0,173100697309000,c0_000808.gray
808,2,173100697346000,c2_000808.gray
812,0,173100716305000,c0_000812.gray
812,2,173100716339000,c2_000812.gray
815,0,173100730645000,c0_000815.gray
815,2,173100730680000,c2_000815.gray
819,0,173100749638000,c0_000819.gray
819,2,173100749671000,c2_000819.gray
821,0,173100763977000,c0_000821.gray
821,2,173100764013000,c2_000821.gray
826,0,173100782970000,c0_000826.gray
826,2,173100783001000,c2_000826.gray
828,0,173100797341000,c0_000828.gray
828,2,173100797381000,c2_000828.gray
832,0,173100816304000,c0_000832.gray
832,2,173100816339000,c2_000832.gray
835,0,173100830645000,c0_000835.gray
835,2,173100830681000,c2_000835.gray
839,0,173100849639000,c0_000839.gray
839,2,173100849674000,c2_000839.gray
841,0,173100863977000,c0_000841.gray
841,2,173100864013000,c2_000841.gray
846,0,173100882974000,c0_000846.gray
846,2,173100883006000,c2_000846.gray
848,0,173100897349000,c0_000848.gray
848,2,173100897383000,c2_000848.gray
853,0,173100916306000,c0_000853.gray
853,2,173100916339000,c2_000853.gray
855,0,173100930646000,c0_000855.gray
855,2,173100930683000,c2_000855.gray
859,0,173100949638000,c0_000859.gray
859,2,173100949671000,c2_000859.gray
862,0,173100963977000,c0_000862.gray
862,2,173100964010000,c2_000862.gray
865,0,173100982975000,c0_000865.gray
865,2,173100983011000,c2_000865.gray
868,0,173100997311000,c0_000868.gray
868,2,173100997397000,c2_000868.gray
872,0,173101016307000,c0_000872.gray
872,2,173101016341000,c2_000872.gray
874,0,173101030644000,c0_000874.gray
874,2,173101030679000,c2_000874.gray
879,0,173101049641000,c0_000879.gray
879,2,173101049677000,c2_000879.gray
881,0,173101064006000,c0_000881.gray
881,2,173101064042000,c2_000881.gray
886,0,173101082973000,c0_000886.gray
886,2,173101083008000,c2_000886.gray
888,0,173101097348000,c0_000888.gray
888,2,173101097383000,c2_000888.gray
892,0,173101116304000,c0_000892.gray
892,2,173101116329000,c2_000892.gray
895,0,173101130645000,c0_000895.gray
895,2,173101130680000,c2_000895.gray
899,0,173101149640000,c0_000899.gray
899,2,173101149675000,c2_000899.gray
902,0,173101163976000,c0_000902.gray
902,2,173101164011000,c2_000902.gray
906,0,173101182976000,c0_000906.gray
906,2,173101183011000,c2_000906.gray
908,0,173101197314000,c0_000908.gray
908,2,173101197351000,c2_000908.gray
913,0,173101216309000,c0_000913.gray
913,2,173101216344000,c2_000913.gray
915,0,173101230658000,c0_000915.gray
915,2,173101230684000,c2_000915.gray
920,0,173101249642000,c0_000920.gray
920,2,173101249678000,c2_000920.gray
922,0,173101263981000,c0_000922.gray
922,2,173101264018000,c2_000922.gray
926,0,173101282971000,c0_000926.gray
926,2,173101282998000,c2_000926.gray
929,0,173101297314000,c0_000929.gray
929,2,173101297350000,c2_000929.gray
933,0,173101316310000,c0_000933.gray
933,2,173101316344000,c2_000933.gray
935,0,173101330648000,c0_000935.gray
935,2,173101330684000,c2_000935.gray
940,0,173101349642000,c0_000940.gray
940,2,173101349674000,c2_000940.gray
942,0,173101363980000,c0_000942.gray
942,2,173101364016000,c2_000942.gray
946,0,173101382975000,c0_000946.gray
946,2,173101383009000,c2_000946.gray
949,0,173101397315000,c0_000949.gray
949,2,173101397352000,c2_000949.gray
953,0,173101416313000,c0_000953.gray
953,2,173101416349000,c2_000953.gray
955,0,173101430650000,c0_000955.gray
955,2,173101430687000,c2_000955.gray
960,0,173101449641000,c0_000960.gray
960,2,173101449674000,c2_000960.gray
962,0,173101463982000,c0_000962.gray
962,2,173101464016000,c2_000962.gray
966,0,173101482974000,c0_000966.gray
966,2,173101483008000,c2_000966.gray
969,0,173101497318000,c0_000969.gray
969,2,173101497356000,c2_000969.gray
973,0,173101516312000,c0_000973.gray
973,2,173101516349000,c2_000973.gray
975,0,173101530649000,c0_000975.gray
975,2,173101530683000,c2_000975.gray
980,0,173101549644000,c0_000980.gray
980,2,173101549679000,c2_000980.gray
982,0,173101564018000,c0_000982.gray
982,2,173101564051000,c2_000982.gray
986,0,173101582977000,c0_000986.gray
986,2,173101583013000,c2_000986.gray
989,0,173101597314000,c0_000989.gray
989,2,173101597350000,c2_000989.gray
993,0,173101616313000,c0_000993.gray
993,2,173101616348000,c2_000993.gray
995,0,173101630649000,c0_000995.gray
995,2,173101630685000,c2_000995.gray
1000,0,173101649644000,c0_001000.gray
1000,2,173101649679000,c2_001000.gray
1002,0,173101663983000,c0_001002.gray
1002,2,173101664019000,c2_001002.gray
1007,0,173101682979000,c0_001007.gray
1007,2,173101683013000,c2_001007.gray
1009,0,173101697319000,c0_001009.gray
1009,2,173101697359000,c2_001009.gray
1013,0,173101716313000,c0_001013.gray
1013,2,173101716351000,c2_001013.gray
1016,0,173101730659000,c0_001016.gray
1016,2,173101730698000,c2_001016.gray
1020,0,173101749650000,c0_001020.gray
1020,2,173101749688000,c2_001020.gray
1022,0,173101763986000,c0_001022.gray
1022,2,173101764023000,c2_001022.gray
1027,0,173101782979000,c0_001027.gray
1027,2,173101783016000,c2_001027.gray
1029,0,173101797323000,c0_001029.gray
1029,2,173101797363000,c2_001029.gray
1034,0,173101816315000,c0_001034.gray
1034,2,173101816352000,c2_001034.gray
1036,0,173101830650000,c0_001036.gray
1036,2,173101830692000,c2_001036.gray
1040,0,173101849647000,c0_001040.gray
1040,2,173101849682000,c2_001040.gray
1043,0,173101863981000,c0_001043.gray
1043,2,173101864007000,c2_001043.gray
1047,0,173101882982000,c0_001047.gray
1047,2,173101883018000,c2_001047.gray
1049,0,173101897321000,c0_001049.gray
1049,2,173101897361000,c2_001049.gray
1054,0,173101916313000,c0_001054.gray
1054,2,173101916348000,c2_001054.gray
1056,0,173101930655000,c0_001056.gray
1056,2,173101930694000,c2_001056.gray
1060,2,173101949669000,c2_001060.gray
1061,0,173101949645000,c0_001061.gray
1063,0,173101963987000,c0_001063.gray
1063,2,173101964025000,c2_001063.gray
1067,0,173101982984000,c0_001067.gray
1067,2,173101983020000,c2_001067.gray
1070,0,173101997322000,c0_001070.gray
1070,2,173101997360000,c2_001070.gray
1074,0,173102016352000,c0_001074.gray
1074,2,173102016390000,c2_001074.gray
1076,0,173102030654000,c0_001076.gray
1076,2,173102030692000,c2_001076.gray
1081,0,173102049650000,c0_001081.gray
1081,2,173102049687000,c2_001081.gray
1083,0,173102063987000,c0_001083.gray
1083,2,173102064026000,c2_001083.gray
1088,0,173102082976000,c0_001088.gray
1088,2,173102083003000,c2_001088.gray
1090,0,173102097319000,c0_001090.gray
1090,2,173102097345000,c2_001090.gray
1094,0,173102116375000,c0_001094.gray
1094,2,173102116402000,c2_001094.gray
1097,0,173102130654000,c0_001097.gray
1097,2,173102130690000,c2_001097.gray
1101,0,173102149693000,c0_001101.gray
1101,2,173102149730000,c2_001101.gray
1103,0,173102163987000,c0_001103.gray
1103,2,173102164022000,c2_001103.gray
1108,0,173102182979000,c0_001108.gray
1108,2,173102183012000,c2_001108.gray
1110,0,173102197319000,c0_001110.gray
1110,2,173102197356000,c2_001110.gray
1114,0,173102216313000,c0_001114.gray
1114,2,173102216346000,c2_001114.gray
1117,0,173102230653000,c0_001117.gray
1117,2,173102230687000,c2_001117.gray
1121,0,173102249649000,c0_001121.gray
1121,2,173102249684000,c2_001121.gray
1124,0,173102263986000,c0_001124.gray
1124,2,173102264020000,c2_001124.gray
1128,0,173102282983000,c0_001128.gray
1128,2,173102283018000,c2_001128.gray
1130,0,173102297323000,c0_001130.gray
1130,2,173102297360000,c2_001130.gray
1135,0,173102316316000,c0_001135.gray
1135,2,173102316349000,c2_001135.gray
1137,0,173102330653000,c0_001137.gray
1137,2,173102330687000,c2_001137.gray
1141,0,173102349647000,c0_001141.gray
1141,2,173102349681000,c2_001141.gray
1144,0,173102363985000,c0_001144.gray
1144,2,173102364023000,c2_001144.gray
1148,0,173102382982000,c0_001148.gray
1148,2,173102383015000,c2_001148.gray
1151,0,173102397318000,c0_001151.gray
1151,2,173102397353000,c2_001151.gray
1155,0,173102416316000,c0_001155.gray
1155,2,173102416351000,c2_001155.gray
1157,0,173102430659000,c0_001157.gray
1157,2,173102430697000,c2_001157.gray
1162,0,173102449646000,c0_001162.gray
1162,2,173102449679000,c2_001162.gray
1164,0,173102464036000,c0_001164.gray
1164,2,173102464070000,c2_001164.gray
1168,0,173102482982000,c0_001168.gray
1168,2,173102483016000,c2_001168.gray
1171,0,173102497354000,c0_001171.gray
1171,2,173102497390000,c2_001171.gray
1175,0,173102516316000,c0_001175.gray
1175,2,173102516346000,c2_001175.gray
1179,0,173102530642000,c0_001179.gray
1179,2,173102530653000,c2_001179.gray
1187,0,173102549641000,c0_001187.gray
1187,2,173102549661000,c2_001187.gray
1193,0,173102563971000,c0_001193.gray
1193,2,173102563985000,c2_001193.gray
1200,0,173102582974000,c0_001200.gray
1200,2,173102582988000,c2_001200.gray
