#host_mono_ns,byte_offset,bytes
173357168988699,24227,42
173357170245366,24269,42
173357171142449,24311,42
173357171215626,24353,42
173357172305262,24395,42
173357173597918,24437,42
173357174455782,24479,42
173357175515522,24521,42
173357176585887,24563,42
173357177656824,24605,42
173357178721043,24647,42
173357179791668,24689,42
173357180876251,24731,42
173357181999897,24773,42
173357183064272,24815,42
173357184551512,24857,42
173357185608178,24899,42
173357185688230,24941,42
173357186280730,24983,42
173357187344168,25025,42
173357188411355,25067,42
173357189484637,25109,42
173357190734168,25151,42
173357191627449,25193,42
173357192698699,25235,42
173357193763387,25277,42
173357194834793,25319,42
173357195909064,25361,42
173357196977137,25403,42
173357197049741,25445,20
173357198047553,25465,42
173357199115418,25507,42
173357200305157,25549,42
173357201265678,25591,42
173357201344116,25633,42
173357202581459,25675,42
173357203415157,25717,42
173357204460939,25759,42
173357205637814,25801,42
173357206695939,25843,42
173357215999168,25885,42
173357216098074,25927,42
173357216162918,25969,42
173357216220678,26011,42
173357216278387,26053,42
173357216334324,26095,42
173357216391303,26137,42
173357216447293,26179,42
173357216504012,26221,42
173357216559793,26263,42
173357217469220,26305,42
173357218606407,26347,42
173357219601147,26389,42
173357220880418,26431,42
173357221753491,26473,42
173357222833699,26515,42
173357224267136,26557,42
173357224977761,26599,42
173357226036355,26641,42
173357227102970,26683,42
173357228206668,26725,42
173357229259116,26767,42
173357230509689,26809,42
173357230599636,26851,20
173357231404428,26871,42
173357232467501,26913,42
173357232540678,26955,42
173357233535834,26997,42
173357234601720,27039,42
173357235669689,27081,42
173357236742970,27123,42
173357237810886,27165,42
173357238879168,27207,42
173357240475886,27249,42
173357241030366,27291,42
173357242090626,27333,42
173357243156355,27375,42
173357244225834,27417,42
173357245299011,27459,42
173357246370782,27501,42
173357247434220,27543,42
173357248503386,27585,42
173357249571668,27627,42
173357249643699,27669,42
173357250660053,27711,42
173357251726043,27753,42
173357252795782,27795,42
173357253859428,27837,42
173357254930834,27879,42
173357255998282,27921,42
173357257068178,27963,42
173357258141407,28005,42
173357259209168,28047,42
173357260470991,28089,42
173357261352918,28131,42
173357262446616,28173,42
173357263490574,28215,42
173357263563386,28257,20
173357264557136,28277,42
173357265625730,28319,42
173357266694897,28361,42
173357266765105,28403,42
