#host_mono_ns,slot,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
6903969593667,17,-0.201505005,0.154734075,-0.363882542,-0.130764246,0.871955335,-0.396374553,-0.255894244
6904002929292,18,-0.201716453,0.154701829,-0.364046156,-0.130974233,0.872022867,-0.396948189,-0.254664451
6904036265698,19,-0.202057689,0.154617444,-0.364159942,-0.131494462,0.872092485,-0.397479922,-0.253325105
6904069599865,20,-0.202270314,0.154555261,-0.36420384,-0.132073179,0.872011662,-0.397669166,-0.253004998
6904469590958,0,-0.20232667,0.154676422,-0.365183264,-0.132926762,0.870905161,-0.399586171,-0.253348738
6904502936896,1,-0.202270165,0.154727802,-0.365303546,-0.132858008,0.870903969,-0.399708837,-0.253195226
6904536264448,2,-0.202257425,0.154751047,-0.365283579,-0.132879153,0.870981276,-0.399423301,-0.253368884
6904569621427,3,-0.202289015,0.154724047,-0.365221143,-0.132876247,0.871109843,-0.399202406,-0.253276557
6904602926375,4,-0.202391028,0.154672235,-0.365220219,-0.132888317,0.871332765,-0.399128526,-0.252618849
6904652940333,5,-0.202479199,0.154614404,-0.365165204,-0.133185491,0.871328115,-0.398969084,-0.25273031
6904686259187,6,-0.202551425,0.154613927,-0.365222126,-0.133248225,0.871333957,-0.399079978,-0.252501965
6904702933614,7,-0.202579409,0.154674813,-0.365387052,-0.133177266,0.87106216,-0.399377197,-0.253006756
6904736261219,8,-0.202636048,0.154711202,-0.365561366,-0.133232325,0.870830417,-0.399891287,-0.252963424
6904769594448,9,-0.202643603,0.154732168,-0.365635723,-0.13332805,0.87053442,-0.399973631,-0.253800213
6904819842729,10,-0.2027307,0.154710978,-0.365704328,-0.133345082,0.870487511,-0.400114983,-0.253729373
6904852972833,11,-0.20277451,0.154659346,-0.365609229,-0.133566722,0.870550036,-0.399970353,-0.253626138
6904886271791,12,-0.202772751,0.154591173,-0.365445167,-0.133499935,0.870773017,-0.399584979,-0.253503501
6904919593979,13,-0.202763319,0.15454793,-0.36535126,-0.133507982,0.870771527,-0.399462163,-0.253697664
6904952930698,14,-0.202725396,0.154539227,-0.365368128,-0.133645877,0.870752811,-0.399627566,-0.253428668
6904986256323,15,-0.202579886,0.154560715,-0.365403742,-0.133150473,0.870832145,-0.39961648,-0.25343433
6905019678041,16,-0.202499583,0.154575542,-0.365421683,-0.132896364,0.870933533,-0.399616212,-0.253219694
6905053001166,17,-0.202550933,0.154535413,-0.365451127,-0.133105472,0.870635986,-0.400023788,-0.253489435
6905086276739,18,-0.202610508,0.154488131,-0.36538589,-0.133151561,0.870693922,-0.399914235,-0.253439099
6905119615646,19,-0.202647522,0.154443935,-0.365242571,-0.133035004,0.870918572,-0.399488956,-0.253399104
6905152927364,20,-0.202732801,0.154421285,-0.36513862,-0.133409247,0.87088728,-0.399322033,-0.253572851
6905552930906,0,-0.202617541,0.154219538,-0.364536256,-0.133334517,0.870690286,-0.399758905,-0.253600448
6905586271479,1,-0.202672318,0.154125258,-0.364345461,-0.133531705,0.870785892,-0.399497241,-0.25358063
6905636272208,2,-0.202656209,0.154058814,-0.364135206,-0.133165434,0.870986819,-0.39923048,-0.253503412
6905669613406,3,-0.20264262,0.153999671,-0.36394918,-0.133275494,0.871173561,-0.399050564,-0.253086746
6905702926947,4,-0.202589229,0.153950632,-0.363778591,-0.133255839,0.871183276,-0.398868054,-0.253351212
6905736263302,5,-0.202593967,0.153924793,-0.363678426,-0.133289322,0.871038675,-0.398955196,-0.253693432
6905769608197,6,-0.202596992,0.15391171,-0.363628626,-0.133300141,0.870991111,-0.399104625,-0.253615946
6905802933770,7,-0.202574417,0.153888285,-0.363545775,-0.133136436,0.871136725,-0.399077952,-0.253243566
6905836286739,8,-0.202556029,0.153838962,-0.363389075,-0.133129284,0.871290505,-0.398895949,-0.253004968
6905869594916,9,-0.202486455,0.153778598,-0.36318782,-0.133109063,0.871501565,-0.398608238,-0.252741933
