USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root           391     2       0      0 irq_thread          0 S [irq/477-dcin-pl]
root           392     2       0      0 irq_thread          0 S [irq/478-div2-en]
root           393     2       0      0 irq_thread          0 S [irq/479-dcin-ic]
root           394     2       0      0 irq_thread          0 S [irq/481-wdog-ba]
root           395     2       0      0 irq_thread          0 S [irq/482-aicl-fa]
root           396     2       0      0 irq_thread          0 S [irq/483-aicl-do]
root           397     2       0      0 irq_thread          0 S [irq/484-high-du]
root           398     2       0      0 irq_thread          0 S [irq/485-input-c]
root           399     2       0      0 irq_thread          0 S [irq/486-tempera]
root           400     2       0      0 irq_thread          0 S [irq/487-switche]
root           401     2       0      0 irq_thread          0 S [irq/38-ptrain-d]
root           402     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           403     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           404     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           405     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           406     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           407     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           408     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           409     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           410     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           411     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           412     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           413     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           414     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           415     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           416     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           417     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           418     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           419     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
