#t[ns],wx,wy,wz,ax,ay,az
1420150559000,-2.90071479,-1.2911005,-0.188551789,-8.14507405,0.545877979,-0.629675037
1420151565000,-2.90178006,-1.28364365,-0.189617053,-8.11155522,0.536301172,-0.639251843
1420152571000,-2.90391059,-1.27618679,-0.190682317,-8.0756422,0.536301172,-0.627280835
1420153577000,-2.90604112,-1.26872994,-0.190682317,-8.05409438,0.545877979,-0.603338818
1420154583000,-2.90817164,-1.26127309,-0.191747582,-8.02296976,0.536301172,-0.603338818
1420155590000,-2.90923691,-1.25275098,-0.191747582,-7.97987413,0.502782349,-0.574608398
1420156596000,-2.91030217,-1.24422886,-0.191747582,-7.94874951,0.49081134,-0.524330164
1420157602000,-2.91030217,-1.23783727,-0.191747582,-7.9248075,0.488417139,-0.521935962
1420158608000,-2.91349797,-1.23038042,-0.192812846,-7.88889447,0.457292517,-0.493205542
1420159614000,-2.9156285,-1.22292357,-0.192812846,-7.86255825,0.450109912,-0.459686719
1420160620000,-2.91669376,-1.21440146,-0.193878111,-7.81946262,0.435744702,-0.438138904
1420161626000,-2.91775902,-1.20587934,-0.193878111,-7.79552061,0.395043274,-0.421379492
1420162633000,-2.91882429,-1.19735723,-0.194943375,-7.77876119,0.371101257,-0.407014282
1420163639000,-2.91988955,-1.19096564,-0.19600864,-7.72848296,0.335188232,-0.409408484
1420164645000,-2.91988955,-1.18350879,-0.19600864,-7.70454094,0.313640417,-0.404620081
1420165651000,-2.91988955,-1.17498667,-0.198139168,-7.67581052,0.316034619,-0.378283862
1420166657000,-2.91988955,-1.16646456,-0.199204433,-7.6446859,0.313640417,-0.366312854
1420167663000,-2.92095482,-1.15794244,-0.201334962,-7.60877288,0.301669409,-0.325611426
1420168670000,-2.92095482,-1.14942033,-0.202400226,-7.57525405,0.294486804,-0.299275208
1420169676000,-2.92202008,-1.13983295,-0.204530755,-7.59201346,0.272938989,-0.294486804
1420170682000,-2.92308535,-1.13131083,-0.206661284,-7.58243666,0.241814368,-0.256179578
1420171688000,-2.92308535,-1.12278872,-0.208791813,-7.54173523,0.239420166,-0.198718738
1420172694000,-2.92202008,-1.1153318,-0.211987606,-7.52737002,0.246602771,-0.141257898
1420173700000,-2.92308535,-1.10787495,-0.211987606,-7.52497582,0.210689746,-0.0837970581
1420174706000,-2.92415061,-1.10148336,-0.213052871,-7.51539901,0.213083948,-0.0167594116
1420175713000,-2.92415061,-1.09509177,-0.215183399,-7.51061061,0.229843359,0.0287304199
1420176719000,-2.92415061,-1.09083072,-0.217313928,-7.5010338,0.220266553,0.0694318481
1420177725000,-2.92415061,-1.08550439,-0.220509722,-7.47469758,0.213083948,0.119710083
1420178731000,-2.92308535,-1.07911281,-0.223705515,-7.44596716,0.203507141,0.126892688
1420179737000,-2.92202008,-1.07272122,-0.225836044,-7.42441935,0.189141931,0.131681091
1420180743000,-2.92202008,-1.06632963,-0.226901308,-7.40287153,0.167594116,0.191536133
1420181749000,-2.92095482,-1.06100331,-0.229031837,-7.39329473,0.148440503,0.253785376
1420182756000,-2.92095482,-1.05461173,-0.231162366,-7.38132372,0.122104285,0.258573779
1420183762000,-2.91882429,-1.0492854,-0.231162366,-7.36456431,0.0790086548,0.268150586
1420184768000,-2.9156285,-1.04395908,-0.23222763,-7.3549875,0.0383072266,0.287304199
1420185774000,-2.91349797,-1.03756749,-0.23222763,-7.31907448,0.0526724365,0.292092603
1420186780000,-2.9124327,-1.03117591,-0.233292895,-7.26640204,0.0790086548,0.299275208
1420187786000,-2.91030217,-1.02371906,-0.235423424,-7.23527742,0.0670376465,0.296881006
1420188793000,-2.90817164,-1.01626221,-0.236488688,-7.22809481,0.0167594116,0.301669409
1420189799000,-2.90604112,-1.00987062,-0.237553953,-7.25443103,0.0167594116,0.318428821
1420190805000,-2.90178006,-1.00347903,-0.237553953,-7.22570061,0.0287304199,0.344765039
1420191811000,-2.897519,-0.99815271,-0.238619217,-7.18021078,0.0191536133,0.368707056
1420192817000,-2.89538847,-0.990695859,-0.240749746,-7.16584557,0.0383072266,0.359130249
1420193823000,-2.89112741,-0.983239008,-0.242880275,-7.13950935,0.0287304199,0.359130249
1420194829000,-2.88793162,-0.975782157,-0.243945539,-7.09880792,0.0239420166,0.368707056
1420195836000,-2.88367056,-0.967260041,-0.243945539,-7.08204851,0.0287304199,0.380678064
1420196842000,-2.8794095,-0.957672661,-0.245010804,-7.07486591,0.0263362183,0.390254871
1420197848000,-2.87621371,-0.947020017,-0.246076068,-7.05331809,0.0191536133,0.385466467
1420198854000,-2.87301792,-0.937432637,-0.247141333,-7.04613549,0.0191536133,0.399831677
1420199860000,-2.87088739,-0.928910522,-0.249271861,-7.01022246,0.0359130249,0.404620081
1420200866000,-2.86662633,-0.919323142,-0.25140239,-7.00303986,0.0263362183,0.404620081
1420201872000,-2.86343054,-0.908670497,-0.253532919,-7.00064565,0.0311246216,0.399831677
1420202879000,-2.86023474,-0.898017853,-0.254598184,-6.96952103,0.0239420166,0.390254871
1420203885000,-2.85597369,-0.886299944,-0.255663448,-6.95755002,0.01436521,0.423773694
1420204891000,-2.85277789,-0.873516771,-0.256728712,-6.95036742,0.0454898315,0.418985291
1420205897000,-2.85171263,-0.861798862,-0.257793977,-6.94557902,0.0574608398,0.395043274
1420206903000,-2.85064736,-0.849015689,-0.258859241,-6.90727179,0.0622492432,0.395043274
1420207909000,-2.84745157,-0.835167251,-0.259924506,-6.86417616,0.0646434448,0.4333505
1420208916000,-2.84319051,-0.822384078,-0.26098977,-6.85938776,0.0814028564,0.466869324
1420209922000,-2.84105998,-0.810666169,-0.26098977,-6.85459935,0.0814028564,0.442927307
1420210928000,-2.83892946,-0.79894826,-0.26098977,-6.85220515,0.0430956299,0.452504114
1420211934000,-2.83573366,-0.784034558,-0.262055035,-6.86178196,0.0502782349,0.49081134
1420212940000,-2.83360313,-0.769120856,-0.263120299,-6.88093557,0.0909796631,0.493205542
1420213946000,-2.83253787,-0.754207154,-0.263120299,-6.86178196,0.0909796631,0.49081134
1420214952000,-2.8314726,-0.739293452,-0.264185563,-6.83305154,0.112527478,0.500388147
1420215959000,-2.82934208,-0.72437975,-0.266316092,-6.84262834,0.150834705,0.47644613
1420216965000,-2.82827681,-0.711596577,-0.267381357,-6.82826313,0.136469495,0.488417139
1420217971000,-2.82721155,-0.696682941,-0.269511886,-6.80432112,0.141257898,0.507570752
1420218977000,-2.82508102,-0.67963871,-0.271642415,-6.7803791,0.191536133,0.474051929
1420219983000,-2.82508102,-0.662594479,-0.271642415,-6.74686028,0.220266553,0.445321509
1420220989000,-2.82614628,-0.645550248,-0.27057715,-6.73967767,0.179565125,0.428562097
1420221995000,-2.82508102,-0.628506017,-0.269511886,-6.74686028,0.174776721,0.44771571
1420223002000,-2.82508102,-0.612527051,-0.271642415,-6.74446608,0.229843359,0.486022937
1420224008000,-2.82614628,-0.59548282,-0.273772943,-6.77080229,0.234631763,0.486022937
1420225014000,-2.82614628,-0.578438589,-0.274838208,-6.7803791,0.237025964,0.529118567
1420226020000,-2.82614628,-0.562459622,-0.274838208,-6.78756171,0.244208569,0.581791003
1420227026000,-2.82614628,-0.546480622,-0.275903472,-6.79235011,0.256179578,0.629675037
1420228032000,-2.82721155,-0.53156692,-0.278034001,-6.7851675,0.299275208,0.684741675
1420229038000,-2.82934208,-0.515587954,-0.281229811,-6.7827733,0.313640417,0.694318481
1420230045000,-2.83040734,-0.501739516,-0.282295076,-6.7731965,0.284909998,0.694318481
1420231051000,-2.8314726,-0.486825814,-0.282295076,-6.76601389,0.244208569,0.713472095
1420232057000,-2.83360313,-0.472977376,-0.28336034,-6.77080229,0.241814368,0.751779321
1420233063000,-2.8346684,-0.458063674,-0.28336034,-6.7827733,0.275333191,0.751779321
1420234069000,-2.83679893,-0.443149972,-0.285490869,-6.7803791,0.270544788,0.739808313
1420235075000,-2.83892946,-0.42823627,-0.286556133,-6.76361969,0.248996973,0.758961926
1420236082000,-2.83999472,-0.414387832,-0.287621398,-6.75404288,0.246602771,0.74938512
1420237088000,-2.83999472,-0.400539395,-0.289751927,-6.75883129,0.220266553,0.74938512
1420238094000,-2.84212525,-0.384560428,-0.29294772,-6.74686028,0.217872351,0.761356128
1420239100000,-2.84319051,-0.368581462,-0.296143513,-6.72531246,0.232237561,0.73501991
1420240106000,-2.84319051,-0.353667759,-0.296143513,-6.70855305,0.215478149,0.7206547
1420241112000,-2.84532104,-0.339819355,-0.294012984,-6.70855305,0.215478149,0.725443103
1420242118000,-2.84745157,-0.325970917,-0.294012984,-6.70376465,0.215478149,0.732625708
1420243125000,-2.8495821,-0.313187744,-0.296143513,-6.70376465,0.222660754,0.74938512
1420244131000,-2.85064736,-0.298274042,-0.298274042,-6.68221683,0.227449158,0.76375033
1420245137000,-2.85277789,-0.28336034,-0.300404571,-6.66785162,0.208295544,0.746990918
1420246143000,-2.85490842,-0.268446621,-0.301469835,-6.65348641,0.189141931,0.723048901
1420247149000,-2.85597369,-0.253532919,-0.301469835,-6.6343328,0.177170923,0.723048901
1420248155000,-2.85810422,-0.238619217,-0.300404571,-6.61757339,0.191536133,0.718260498
1420249161000,-2.86023474,-0.223705515,-0.300404571,-6.60081398,0.203507141,0.699106885
1420250168000,-2.86130001,-0.207726548,-0.301469835,-6.61278499,0.17238252,0.723048901
1420251174000,-2.86130001,-0.192812846,-0.3025351,-6.57926616,0.162805713,0.73501991
1420252180000,-2.86236527,-0.177899144,-0.303600364,-6.56968936,0.124498486,0.70628949
1420253186000,-2.86556107,-0.161920194,-0.303600364,-6.58644877,0.0694318481,0.708683691
1420254192000,-2.8676916,-0.144875963,-0.305730893,-6.59602557,-0.01436521,0.711077893
1420255198000,-2.86982212,-0.127831724,-0.307861422,-6.65827482,-0.119710083,0.694318481
1420256205000,-2.87301792,-0.111852757,-0.311057215,-6.67024583,-0.138863696,0.651222852
1420257211000,-2.87514845,-0.0969390554,-0.314253009,-6.65588062,-0.169988318,0.627280835
1420258217000,-2.87621371,-0.0809600971,-0.318514066,-6.71334146,-0.244208569,0.636857642
1420259223000,-2.8794095,-0.063915862,-0.322775124,-6.72770667,-0.282515796,0.653617053
1420260229000,-2.88154003,-0.0458063666,-0.328101446,-6.69179364,-0.268150586,0.644040247
1420261235000,-2.88154003,-0.0287621377,-0.333427768,-6.70376465,-0.275333191,0.617704028
1420262241000,-2.8826053,-0.0138484366,-0.338754091,-6.71812986,-0.318428821,0.59136781
1420263248000,-2.8826053,0.00106526437,-0.341949884,-6.72291826,-0.316034619,0.584185205
1420264254000,-2.88367056,0.0170442299,-0.345145677,-6.70376465,-0.304063611,0.593762012
1420265260000,-2.88473583,0.0340884599,-0.349406735,-6.72770667,-0.320823022,0.56263739
1420266266000,-2.88580109,0.0511326888,-0.353667759,-6.74686028,-0.311246216,0.553060583
1420267272000,-2.88580109,0.0681769197,-0.358994082,-6.72770667,-0.296881006,0.54827218
1420268278000,-2.88580109,0.0852211549,-0.365385668,-6.71812986,-0.284909998,0.517147559
1420269284000,-2.88686636,0.103330642,-0.37071199,-6.70376465,-0.292092603,0.497993945
1420270291000,-2.88686636,0.120374873,-0.376038313,-6.69418784,-0.294486804,0.474051929
1420271297000,-2.88580109,0.136353839,-0.381364635,-6.68221683,-0.265756384,0.459686719
1420272303000,-2.88473583,0.153398079,-0.386690957,-6.67982263,-0.256179578,0.471657727
1420273309000,-2.8826053,0.17044231,-0.393082544,-6.68700524,-0.251391174,0.488417139
1420274315000,-2.88154003,0.18642126,-0.397343601,-6.67503423,-0.232237561,0.47644613
1420275321000,-2.88047477,0.201334962,-0.400539395,-6.6391212,-0.215478149,0.438138904
1420276328000,-2.88047477,0.217313928,-0.404800452,-6.6271502,-0.184353528,0.4333505
1420277334000,-2.88047477,0.234358159,-0.407996246,-6.6391212,-0.10055647,0.474051929
1420278340000,-2.8794095,0.250337126,-0.411192039,-6.64151541,0,0.531512769
1420279346000,-2.87727898,0.266316092,-0.414387832,-6.6271502,0.0694318481,0.56263739
1420280352000,-2.87514845,0.28336034,-0.416518361,-6.6295444,0.112527478,0.553060583
1420281358000,-2.87301792,0.300404571,-0.416518361,-6.60560238,0.155623108,0.579396802
1420282364000,-2.87301792,0.314253009,-0.415453097,-6.59123717,0.215478149,0.641646045
1420283371000,-2.87195265,0.327036182,-0.416518361,-6.60799658,0.246602771,0.665588062
1420284377000,-2.87088739,0.34088462,-0.417583626,-6.60799658,0.284909998,0.66319386
1420285383000,-2.87195265,0.355798288,-0.41864889,-6.61039078,0.318428821,0.656011255
1420286389000,-2.87301792,0.37071199,-0.41864889,-6.61278499,0.318428821,0.653617053
1420287395000,-2.87408318,0.385625693,-0.416518361,-6.62236179,0.325611426,0.66319386
1420288401000,-2.87408318,0.400539395,-0.413322568,-6.66785162,0.313640417,0.66319386
1420289407000,-2.87408318,0.415453097,-0.411192039,-6.68700524,0.316034619,0.656011255
1420290414000,-2.87408318,0.429301534,-0.407996246,-6.68221683,0.330399829,0.627280835
1420291420000,-2.87408318,0.443149972,-0.405865717,-6.70615885,0.320823022,0.588973608
1420292426000,-2.87408318,0.458063674,-0.402669924,-6.74207187,0.308852014,0.588973608
1420293432000,-2.87514845,0.470846847,-0.39947413,-6.7755907,0.306457812,0.5770026
1420294438000,-2.87514845,0.484695285,-0.397343601,-6.78995591,0.308852014,0.53390697
1420295444000,-2.87514845,0.499608987,-0.394147808,-6.84981095,0.292092603,0.521935962
1420296450000,-2.87514845,0.513457425,-0.390952015,-6.9288196,0.268150586,0.51954176
1420297457000,-2.87514845,0.527305863,-0.387756221,-6.94318481,0.277727393,0.483628735
1420298463000,-2.87621371,0.540089036,-0.383495164,-6.97670364,0.287304199,0.430956299
1420299469000,-2.87834424,0.553937473,-0.381364635,-7.02937607,0.277727393,0.380678064
1420300475000,-2.87727898,0.567785944,-0.379234106,-7.07726011,0.248996973,0.335188232
1420301481000,-2.87621371,0.581634382,-0.377103577,-7.16345137,0.210689746,0.318428821
1420302487000,-2.87621371,0.593352291,-0.374973048,-7.23048901,0.17238252,0.284909998
1420303494000,-2.87727898,0.606135464,-0.372842519,-7.29992086,0.1436521,0.260967981
1420304500000,-2.87834424,0.618918637,-0.371777255,-7.37414111,0.112527478,0.229843359
