#seq,cam,ts_ns,file
1829,2,87859568880000,c2_001829.gray
1835,0,87859583227000,c0_001835.gray
1835,2,87859583214000,c2_001835.gray
1843,0,87859602225000,c0_001843.gray
1843,2,87859602211000,c2_001843.gray
1849,0,87859616564000,c0_001849.gray
1849,2,87859616549000,c2_001849.gray
1857,0,87859635558000,c0_001857.gray
1857,2,87859635544000,c2_001857.gray
1863,0,87859649895000,c0_001863.gray
1863,2,87859649881000,c2_001863.gray
1871,0,87859668893000,c0_001871.gray
1871,2,87859668879000,c2_001871.gray
1876,0,87859683230000,c0_001876.gray
1876,2,87859683216000,c2_001876.gray
1884,0,87859702239000,c0_001884.gray
1884,2,87859702225000,c2_001884.gray
1889,2,87859716548000,c2_001889.gray
1890,0,87859716564000,c0_001890.gray
1897,0,87859735558000,c0_001897.gray
1897,2,87859735545000,c2_001897.gray
1902,0,87859749893000,c0_001902.gray
1902,2,87859749881000,c2_001902.gray
1907,0,87859768894000,c0_001907.gray
1907,2,87859768880000,c2_001907.gray
1913,0,87859783236000,c0_001913.gray
1913,2,87859783219000,c2_001913.gray
1921,0,87859802310000,c0_001921.gray
1921,2,87859802246000,c2_001921.gray
1925,0,87859816572000,c0_001925.gray
1925,2,87859816555000,c2_001925.gray
1933,0,87859835569000,c0_001933.gray
1933,2,87859835552000,c2_001933.gray
1938,0,87859849905000,c0_001938.gray
1938,2,87859849888000,c2_001938.gray
1946,0,87859868903000,c0_001946.gray
1946,2,87859868886000,c2_001946.gray
1952,0,87859883240000,c0_001952.gray
1952,2,87859883222000,c2_001952.gray
1960,0,87859902234000,c0_001960.gray
1960,2,87859902218000,c2_001960.gray
1965,0,87859916567000,c0_001965.gray
1965,2,87859916554000,c2_001965.gray
1973,0,87859935558000,c0_001973.gray
1973,2,87859935545000,c2_001973.gray
1979,0,87859949895000,c0_001979.gray
1979,2,87859949881000,c2_001979.gray
1987,0,87859968894000,c0_001987.gray
1987,2,87859968880000,c2_001987.gray
1993,0,87859983230000,c0_001993.gray
1993,2,87859983216000,c2_001993.gray
2001,0,87860002226000,c0_002001.gray
2001,2,87860002213000,c2_002001.gray
2007,0,87860016565000,c0_002007.gray
2007,2,87860016551000,c2_002007.gray
2015,0,87860035558000,c0_002015.gray
2015,2,87860035546000,c2_002015.gray
2020,0,87860049899000,c0_002020.gray
2020,2,87860049884000,c2_002020.gray
2028,0,87860068895000,c0_002028.gray
2028,2,87860068881000,c2_002028.gray
2034,0,87860083231000,c0_002034.gray
2034,2,87860083217000,c2_002034.gray
2042,0,87860102303000,c0_002042.gray
2042,2,87860102214000,c2_002042.gray
2047,0,87860116565000,c0_002047.gray
2047,2,87860116552000,c2_002047.gray
