#seq,cam,ts_ns,file
758,0,173360404964000,c0_000758.gray
758,2,173360404976000,c2_000758.gray
766,0,173360423966000,c0_000766.gray
766,2,173360423977000,c2_000766.gray
772,0,173360438300000,c0_000772.gray
772,2,173360438313000,c2_000772.gray
780,0,173360457291000,c0_000780.gray
780,2,173360457301000,c2_000780.gray
786,0,173360471632000,c0_000786.gray
786,2,173360471646000,c2_000786.gray
794,0,173360490628000,c0_000794.gray
794,2,173360490641000,c2_000794.gray
800,0,173360504965000,c0_000800.gray
800,2,173360504981000,c2_000800.gray
808,0,173360524056000,c0_000808.gray
808,2,173360524067000,c2_000808.gray
813,0,173360538299000,c0_000813.gray
813,2,173360538313000,c2_000813.gray
821,0,173360557294000,c0_000821.gray
821,2,173360557309000,c2_000821.gray
827,0,173360571639000,c0_000827.gray
827,2,173360571664000,c2_000827.gray
832,0,173360590635000,c0_000832.gray
832,2,173360590660000,c2_000832.gray
834,0,173360604982000,c0_000834.gray
834,2,173360605019000,c2_000834.gray
838,0,173360623979000,c0_000838.gray
838,2,173360624016000,c2_000838.gray
840,0,173360638313000,c0_000840.gray
840,2,173360638349000,c2_000840.gray
844,0,173360657311000,c0_000844.gray
844,2,173360657345000,c2_000844.gray
846,0,173360671647000,c0_000846.gray
846,2,173360671686000,c2_000846.gray
851,0,173360690642000,c0_000851.gray
851,2,173360690677000,c2_000851.gray
853,0,173360704982000,c0_000853.gray
853,2,173360705021000,c2_000853.gray
857,0,173360723978000,c0_000857.gray
857,2,173360724015000,c2_000857.gray
859,0,173360738315000,c0_000859.gray
859,2,173360738353000,c2_000859.gray
863,0,173360757312000,c0_000863.gray
863,2,173360757350000,c2_000863.gray
865,0,173360771649000,c0_000865.gray
865,2,173360771687000,c2_000865.gray
870,0,173360790642000,c0_000870.gray
870,2,173360790676000,c2_000870.gray
872,0,173360804987000,c0_000872.gray
872,2,173360805025000,c2_000872.gray
876,0,173360823974000,c0_000876.gray
876,2,173360824007000,c2_000876.gray
878,0,173360838313000,c0_000878.gray
878,2,173360838346000,c2_000878.gray
882,0,173360857312000,c0_000882.gray
882,2,173360857347000,c2_000882.gray
884,0,173360871646000,c0_000884.gray
884,2,173360871675000,c2_000884.gray
888,0,173360890647000,c0_000888.gray
888,2,173360890681000,c2_000888.gray
891,0,173360904983000,c0_000891.gray
891,2,173360905020000,c2_000891.gray
